ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
2846,ALHP.N0000,ANILANA HOTELS AND PROPERTIES PLC,10000,2016-10-13,1.9,108812,17,206744.0,2.0,1.9,-0.1,-5,17/JUL/2013,1.9,2.0,937286176.6,2.0
395,ALLI.N0000,ALLIANCE FINANCE COMPANY PLC,18,2016-10-13,1020.6,1450,38,1485272.7,1040.0,1015.0,-9.4,-0.912621359223300970873,01/JAN/1959,1020.6,1030.0,2480058000,1040.0
151,ALUF.N0000,ALUFAB PLC,1,2016-10-13,44.2,7101,11,314070.8,45.8,44.0,-0.4,-0.896860986547085201793,01/JAN/1981,44.2,44.6,532972440,44.6
3082,ALUM.N0000,ALUMEX PLC,270,2016-10-13,20.3,266252,64,5389373.0,20.5,20.2,-0.1,-0.490196078431372549019,31/MAR/2014,20.3,20.4,6075847652,20.5
240,AMSL.N0000,ASIRI  SURGICAL HOSPITAL PLC,2965,2016-10-13,12.8,7814,7,100219.2,13.0,12.8,-0.2,-1.538461538461538461538,12/NOV/2004,12.8,13.0,6764256576,13.0
406,APLA.N0000,ACL PLASTICS PLC,1026,2016-10-13,228,56509,34,1.29110098E7,230.0,228.0,-2,-0.869565217391304347826,05/APR/1995,228.0,230.0,960450000,230.0
250,ASCO.N0000,ASCOT HOLDINGS  PLC,400,2016-10-13,33,508,3,16769.6,33.7,33.0,-0.1,-0.302114803625377643504,01/JAN/1969,33.0,33.1,417699315,33.7
225,ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,220,2016-10-13,29.1,5000,6,145450.0,29.8,29.0,0,0,01/JUN/1986,29.1,29.1,33102227643.6,29.8
2209,ASIY.N0000,ASIA SIYAKA COMMODITIES PLC,550,2016-10-13,2.3,137625,16,330245.0,2.4,2.3,-0.1,-4.166666666666666666666,12/SEP/2012,2.3,2.4,598000000,2.4
269,ASPH.N0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,5,2016-10-13,320,5,1,1795.0,359.0,359.0,0,0,01/JAN/1978,320.0,320.0,213299840,359.0
364,ATL.N0000,AMANA TAKAFUL  PLC,7500,2016-10-13,0.8,19240,3,16566.0,0.9,0.8,-0.1,-11.11111111111111111111,27/NOV/2006,0.8,0.9,1440001036.8,0.9
3575,ATLL.N0000,AMANA TAKAFUL LIFE PLC,2000,2016-10-13,1.6,2100,2,3360.0,1.6,1.6,-0.1,-5.882352941176470588235,18/AUG/2016,1.6,1.7,800000000,1.6
306,AUTO.N0000,THE AUTODROME PLC,44,2016-10-13,75,430,8,31599.6,75.0,73.0,1.3,1.7639077340569877883310,01/JAN/1975,75.0,73.7,900000000,73.6
193,BALA.N0000,BALANGODA PLANTATIONS PLC,50,2016-10-13,14,900,3,12605.0,14.1,14.0,0,0,03/JUN/1998,14.0,14.0,330909082,14.0
128,BBH.N0000,BROWNS BEACH HOTELS PLC,48,2016-10-13,24.4,850,7,20700.1,24.6,24.3,-0.1,-0.408163265306122448979,22/FEB/1993,24.4,24.5,3162240000,24.6
2188,BERU.N0000,BERUWALA RESORTS PLC,25000,2016-10-13,1.3,300143,12,390225.9,1.4,1.3,0,0,04/JUL/2012,1.3,1.3,780000000,1.3
188,BFL.N0000,BAIRAHA FARMS PLC,500,2016-10-13,189,36511,29,6844665.1,191.0,187.0,0.5,0.2652519893899204244031,05/DEC/1994,189.0,188.5,3024000000,191.0
3495,BFN.N0000,ORIENT FINANCE PLC,8,2016-10-13,15.8,8,1,131.2,16.4,16.4,0,0,30/JUN/2011,15.8,15.8,2338690246,16.4
1851,BIL.N0000,BROWNS INVESTMENTS PLC,100,2016-10-13,1.4,617012,24,863816.8,1.4,1.4,0,0,26/JUL/2011,1.4,1.4,5208000000,1.4
1802,BLI.N0000,BIMPUTH FINANCE PLC,50,2016-10-13,62.9,2075,4,130587.5,63.3,60.1,0.1,0.1592356687898089171974,13/JUN/2011,62.9,62.8,6776427337.6,63.0
135,BLUE.N0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,1000,2016-10-13,2.1,36101,9,75812.2,2.2,2.1,0,0,31/MAR/1992,2.1,2.1,433863742.2,2.1
301,BLUE.X0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,1100,2016-10-13,0.6,18717,12,11230.2,0.6,0.6,0,0,31/MAR/1992,0.6,0.6,116780173.8,0.6
189,BOGA.N0000,BOGALA GRAPHITE LANKA PLC,100,2016-10-13,17,75936,44,1288359.0,17.3,16.7,0,0,08/MAY/1992,17.0,17.0,1608759368,17.0
34,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,5,2016-10-13,9.9,5,1,49.5,9.9,9.9,0,0,08/DEC/1995,9.9,9.9,829125000,9.9
3080,BRR.N0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,490,2016-10-13,10,500,2,5000.0,10.0,10.0,-0.5,-4.761904761904761904761,27/MAR/2014,10.0,10.5,537280000,10.0
25,BRWN.N0000,BROWN & COMPANY PLC,100,2016-10-13,90.5,1800,6,162950.0,90.6,90.5,-0.5,-0.549450549450549450549,01/JAN/1970,90.5,91.0,6414187500,90.5
165,BUKI.N0000,BUKIT DARAH PLC,1,2016-10-13,260.1,1,1,264.0,264.0,264.0,0,0,01/JAN/1970,260.1,260.1,26530200000,264.0
1965,CALF.N0000,COLOMBO TRUST FINANCE PLC,100,2016-10-13,11.2,100,1,1120.0,11.2,11.2,-0.3,-2.608695652173913043478,04/OCT/2011,11.2,11.5,521015521.6,11.2
551,CARG.N0000,CARGILLS (CEYLON) PLC,200,2016-10-13,181.3,798,4,144699.0,181.8,180.0,-2.7,-1.467391304347826086956,01/JAN/1946,181.3,184.0,40611200000,181.8
426,CCS.N0000,CEYLON COLD STORES PLC,64,2016-10-13,616.3,1426,26,887385.8,639.0,613.0,-16.7,-2.638230647709320695102,01/JAN/1970,616.3,633.0,58573152000,634.0
385,CFI.N0000,COLOMBO FORT INVESTMENTS PLC,1000,2016-10-13,80,15670,9,1253610.0,80.1,80.0,0,0,15/JUN/1986,80.0,80.0,520000000,80.0
447,CFIN.N0000,CENTRAL FINANCE COMPANY PLC,500,2016-10-13,112,2600,7,291684.5,112.5,111.5,-0.5,-0.444444444444444444444,01/JAN/1969,112.0,112.5,24276995456,112.5
525,CFLB.N0000,THE COLOMBO FORT LAND & BUILDING PLC,10,2016-10-13,21,211,3,4430.8,21.0,20.8,0,0,01/JAN/1970,21.0,21.0,3780000000,20.8
235,CFT.N0000,CEYLON & FOREIGN TRADES PLC,5,2016-10-13,6.5,5,1,31.0,6.2,6.2,0,0,01/JAN/1979,6.5,6.5,911274000,6.2
528,CFVF.N0000,FIRST CAPITAL HOLDINGS PLC,2000,2016-10-13,31.1,55343,64,1739969.4,32.3,31.0,-0.4,-1.269841269841269841269,22/AUG/1994,31.1,31.5,3148875000,32.0
264,CHL.N0000,CEYLON HOSPITALS PLC (DURDANS),148,2016-10-13,100,190,2,19000.0,100.0,100.0,0,0,14/NOV/2003,100.0,100.0,2552727200,100.0
529,CHMX.N0000,CHEMANEX PLC,80,2016-10-13,64.2,80,1,5040.0,63.0,63.0,0,0,01/JAN/1974,64.2,64.2,1011150000,63.0
383,CHOT.N0000,CEYLON HOTELS CORPORATION PLC,100,2016-10-13,22.1,300,3,6610.0,22.1,22.0,-0.6,-2.643171806167400881057,01/JAN/1967,22.1,22.7,3797336942.1,22.0
311,CHOU.N0000,CITY HOUSING & REAL ESTATE CO. PLC,90,2016-10-13,9.3,2900,7,26880.0,9.3,9.2,0,0,29/APR/1988,9.3,9.3,124432605,9.3
162,CIC.N0000,CIC HOLDINGS PLC,47000,2016-10-13,101.9,47000,1,4789300.0,101.9,101.9,0,0,11/OCT/1964,101.9,101.9,7428510000,101.9
328,CIC.X0000,CIC HOLDINGS PLC,1750,2016-10-13,77,3000,2,231000.0,77.0,77.0,-0.1,-0.129701686121919584954,11/OCT/1964,77.0,77.1,1683990000,77.0
1855,CIFL.N0000,CENTRAL INVESTMENTS & FINANCE PLC,10000,2016-10-13,1.7,251303,23,427215.4,1.8,1.7,0,0,18/AUG/2011,1.7,1.7,141825446.1,1.7
224,CIND.N0000,CENTRAL INDUSTRIES PLC,5773,2016-10-13,53,17433,15,931325.0,54.5,53.0,-1.2,-2.214022140221402214022,14/AUG/1990,53.0,54.2,1047726684,53.8
91,CINS.N0000,CEYLINCO INSURANCE PLC,35,2016-10-13,1362.4,211,3,287460.0,1380.0,1340.0,-36.4,-2.602230483271375464684,21/APR/1988,1362.4,1398.8,27248000000,1340.0
1970,CITK.N0000,KALPITIYA BEACH RESORT PLC,5000,2016-10-13,4.4,124470,27,547830.0,4.5,4.4,-0.1,-2.222222222222222222222,03/JAN/2012,4.4,4.5,709280044,4.5
1971,CITW.N0000,WASKADUWA BEACH RESORT PLC,3000,2016-10-13,5.4,3745,4,20237.5,5.5,5.4,-0.2,-3.571428571428571428571,03/JAN/2012,5.4,5.6,1089433341,5.4
2148,CLC.N0000,COMMERCIAL LEASING & FINANCE PLC,200,2016-10-13,3.6,200,1,720.0,3.6,3.6,-0.1,-2.702702702702702702702,05/JUN/2012,3.6,3.7,22959760212,3.6
378,CLND.N0000,COLOMBO LAND & DEVELOPMENT COMPANY PLC,40,2016-10-13,29.1,814,8,23691.4,29.2,29.1,-0.2,-0.682593856655290102389,19/MAR/1986,29.1,29.3,5816537332.8,29.1
507,COCO.N0000,RENUKA FOODS PLC,650,2016-10-13,20.8,3100,5,64480.0,21.5,20.3,0.1,0.4830917874396135265700,06/JUN/1994,20.8,20.7,2453570204.8,21.5
1798,COCR.N0000,COMMERCIAL CREDIT AND FINANCE PLC,1,2016-10-13,65.8,11761,43,775728.5,67.5,65.0,-0.4,-0.604229607250755287009,01/JUN/2011,65.8,66.2,20929293217,66.0
3448,COF.U0000,CANDOR OPPORTUNITIES FUND,862,2016-10-13,9.1,3700,4,33770.3,9.2,9.1,-0.2,-2.150537634408602150537,01/DEC/2015,9.1,9.3,459512690,9.2
308,COLO.N0000,C M HOLDINGS PLC,97,2016-10-13,93.6,102,6,9544.1,95.0,93.5,0.5,0.5370569280343716433941,01/JAN/1970,93.6,93.1,1422720000,94.9
208,COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,2000,2016-10-13,147.7,488141,32,7.22098947E7,148.0,148.0,-0.7,-0.471698113207547169811,01/JAN/1970,147.7,148.4,123022790167.9,148.5
396,COMB.X0000,COMMERCIAL BANK OF CEYLON PLC,7,2016-10-13,118,19640,26,2323987.5,118.7,118.0,-1,-0.840336134453781512605,01/JAN/1970,118.0,119.0,6751093054,118.7
490,COMD.N0000,COMMERCIAL DEVELOPMENT COMPANY PLC,500,2016-10-13,86,2000,5,172000.0,86.0,86.0,0,0,01/JAN/1983,86.0,86.0,1032000000,86.0
214,CONN.N0000,AMAYA LEISURE  PLC,58,2016-10-13,68,529,7,35993.1,68.1,68.0,0.9,1.3412816691505216095380,11/MAR/1996,68.0,67.1,3527634368,68.1
